C & C Music Factory - Do You Want to Get Funky
C & C Music Factory - Gonna Make You Sweat
C & C Music Factory - Things That Make You Go Hmmm
C Note - Wait Till I Get Home
C-Side - Boyfriend/Girlfriend [w/Keyshia Cole]
Cab, The - Bounce
Christmas - Comedy - I Am Santa Claus [Bob Rivers]
Christmas - Comedy - I F*rted on Santa's Lap [Little Stinkers]
Christmas - Comedy - I Want a Hippopotamus for Christmas [Gayla Peevey]
Christmas - Comedy - Jingle Bells [Singing Dogs]
Christmas - Comedy - Leroy the Redneck Reindeer [Joe Diffie]
Christopher, Bryn - Quest, The
Christy, June - In the Wee Small Hours
Chubb Rock - Treat 'Em Right
Chumbawamba - Amnesia
Chumbawamba - Top of the World
Chumbawamba - Tubthumping
Church, Charlotte - Opera Song, The [w/Jurgen Vries]
Church, Charlotte - Moodswings
Church, Charlotte - Even God Can't Change the Past
Church, Charlotte - Crazy Chick
Church, Charlotte - All That Love Can Be
Church, Charlotte - Call My Name
Church, Claudia - Home in My Heart (North Carolina)
Church, Claudia - It's All Your Fault
Church, Claudia - What's the Matter with You Baby
Church, Eric - Two Pink Lines
Church, Eric - Springsteen
Church, Eric - Smoke a Little Smoke
Church, Eric - How 'Bout You
Church, Eric - Homeboy
Church, Eric - Hell on the Heart
Church, Eric - Guys Like Me
Church, Eric - Drink in My Hand
Church, Eric - Creepin'
Church, The - Under the Milky Way
Ciara - Love Sex Magic [w/Justin Timberlake]
Ciara - Love, Sex, Magic [w/Justin Timberlake]
Ciara - Oh [w/Ludacris]
Ciara - Pick Up the Phone
Ciara - Promise
Ciara - So What [w/Field Mob]
Ciara - Lose Control [w/Missy Elliott & Fat Man]
Ciara - Like You [w/Bow Wow]
Ciara - Like a Boy
Ciara - 1, 2 Step [w/Missy Elliott]
Ciara - Ahh [w/J-Hood]
Ciara - And I
Ciara - Can't Leave Him Alone
Ciara - Get Up [w/Chamillionaire]
Ciara - Go Girl [w/T-Pain]
Ciara - Goodies [w/Petey Pablo]
Cilmi, Gabriella - Warm This Winter
Cilmi, Gabriella - Sweet About Me
Cilmi, Gabriella - Save the Lies Good to Me
Cilmi, Gabriella - Save the Lies (Good to Me)
Cilmi, Gabriella - On a Mission
Cilmi, Gabriella - Don't Want to Go to Bed Now
Cilmi, Gabriella - Defender
Cinderella - Somebody Save Me
Cinderella - Shake Me
Cinderella - Nobody's Fool
Cinderella - I'm Coming Home
Cinderella - Gypsy Road
Cinderella - Don't Know What You Got
Cinderella - Heartbreak Station
Citizen King - Better Days (And the Bottom Drops Out)
City High - Caramel [w/Eve]
City High - What Would You Do?
Civil Wars, The - Safe and Sound [w/Taylor Swift]
Cky - Familiar Realm
Clancy Brothers, The - Wasn't That a Party [w/Tom Paxton]
Clanton, Jimmy - Just a Dream
Clanton, Jimmy - Venus in Blue Jeans
Clapton, Eric - No Alibis
Clapton, Eric - My Father's Eyes
Clapton, Eric - Motherless Child
Clapton, Eric - Miss You
Clapton, Eric - Lonely Stranger
Clapton, Eric - Let It Rain
Clapton, Eric - Let It Grow
Clapton, Eric - Layla [acoustic version]
Clapton, Eric - Lay Down Sally
Clapton, Eric - Old Love
Clapton, Eric - Only You Know & I Know [w/Delaney & Bonnie]
Clapton, Eric - Promises
Clapton, Eric - Wonderful Tonight
Clapton, Eric - Willie and the Hand Jive
Clapton, Eric - Tulsa Time
Clapton, Eric - Tears in Heaven
Clapton, Eric - Superman Inside
Clapton, Eric - She's Gone
Clapton, Eric - Running on Faith
Clapton, Eric - Runaway Train [w/Elton John]
Clapton, Eric - Riding with the King [w/B.B. King]
Clapton, Eric - I've Got a Rock n' Roll Heart
Clapton, Eric - It's in the Way That You Use It
Clapton, Eric - I'm Tore Down
Clapton, Eric - Blues Power
Clapton, Eric - Blue Eyes Blue
Clapton, Eric - Believe in Life
Clapton, Eric - Behind the Mask
Clapton, Eric - Before You Accuse Me
Clapton, Eric - Anything for Your Love
Clapton, Eric - After Midnight
Clapton, Eric -  see also  Yardbirds, The 
Clapton, Eric -  see also  Derek & the Dominos 
Clapton, Eric -  see also  Cream 
Clapton, Eric - Born Under a Bad Sign
Clapton, Eric - Change the World
Clapton, Eric - If I Had Possession Over Judgement Day
Clapton, Eric - I Shot the Sheriff
Clapton, Eric - I Get Lost
Clapton, Eric - I Can't Stand It
Clapton, Eric - Forever Man
Clapton, Eric - Don't Think Twice It's Alright [w/Bob Dylan]
Clapton, Eric - Don't Think Twice It's Alright
Clapton, Eric - Crossroads
Clapton, Eric - Crosscut Saw
Clapton, Eric - Cocaine
Clare, Alex - Not Giving in [w/Rudimental & John Newman]
Clare, Alex - Too Close
Clark Family Experience, The - Standin' Still
Clark Family Experience, The - Meanwhile Back at the Ranch
Clark Family Experience, The - Going Away
Clark Sisters, The - You Brought the Sunshine
Clark, Buddy - Linda
Clark, Chris - Graduation Day
Clark, Claudine - Party Lights
Clark, Dave - see  Dave Clark Five 
Clark, Dee - Raindrops
Clark, Dee - Nobody But You
Clark, Dee - Hey Little Girl
Clark, Jameson - You Da Man
Clark, Petula - This Is My Song
Clark, Petula - Sign of the Times, A
Clark, Petula - Sailor
Clark, Petula - Round Every Corner
Clark, Petula - Other Man's Grass Is Always Greener, The
Clark, Petula - My Love
Clark, Petula - I Know a Place
Clark, Petula - I Couldn't Live Without Your Love
Clark, Petula - Downtown
Clark, Petula - Don't Sleep in the Subway
Clark, Petula - Color My World
Clark, Roy - Yesterday When I Was Young
Clark, Roy - Tips of My Fingers
Clark, Roy - Thank God and Greyhound
Clark, Roy - If I Had to Do It All Over Again
Clark, Roy - I Never Picked Cotton
Clark, Roy - Honeymoon Feelin'
Clark, Roy - Come Live with Me
Clark, Sanford - Fool, The
Clark, Terri - Pain to Kill
Clark, Terri - Now That I Found You
Clark, Terri - Northern Girl
Clark, Terri - No Fear
Clark, Terri - Poor Poor Pitiful Me
Clark, Terri - She Didn't Have Time
Clark, Terri - Suddenly Single
Clark, Terri - Three Mississippi
Clark, Terri - Unsung Hero
Clark, Terri - World Needs a Drink, The
Clark, Terri - You're Easy on the Eyes
Clark, Terri - Little Gasoline, A
Clark, Terri - Keeper of the Flame
Clark, Terri - Just the Same
Clark, Terri - Better Things to Do
Clark, Terri - Damn Right
Clark, Terri - Dirty Girl
Clark, Terri - Emotional Girl
Clark, Terri - Empty
Clark, Terri - Everytime I Cry
Clark, Terri - Getting There
Clark, Terri - Girls Lie Too
Clark, Terri - I Just Wanna Be Mad
Clark, Terri - I Think the World Needs a Drink
Clark, Terri - I Wanna Do It All
Clark, Terri - If I Were You
Clarke, Jeremiah - Trumpet Voluntary
Clarkson, Kelly - Sober
Clarkson, Kelly - Since U Been Gone
Clarkson, Kelly - One Minute
Clarkson, Kelly - Never Again
Clarkson, Kelly - My Life Would Suck Without You
Clarkson, Kelly - Mr. Know It All
Clarkson, Kelly - Some Kind of Miracle
Clarkson, Kelly - Stronger (What Doesn't Kill You)
Clarkson, Kelly - Thankful
Clarkson, Kelly - Timeless [w/Justin Guarini]
Clarkson, Kelly - Trouble with Love Is, The
Clarkson, Kelly - Walk Away
Clarkson, Kelly - What Doesn't Kill You (Stronger)
Clarkson, Kelly - You Thought Wrong [w/Tamyra Gray]
Clarkson, Kelly - Mr Know It All
Clarkson, Kelly - Moment Like This, A
Clarkson, Kelly - Anytime
Clarkson, Kelly - Beautiful Disaster
Clarkson, Kelly - Because of You
Clarkson, Kelly - Because of You [solo]
Clarkson, Kelly - Because of You [w/Reba McEntire]
Clarkson, Kelly - Before Your Love
Clarkson, Kelly - Behind These Hazel Eyes
Clarkson, Kelly - Breakaway
Clarkson, Kelly - Catch My Breath
Clarkson, Kelly - Miss Independent
Clarkson, Kelly - Low
Clarkson, Kelly - Just Missed the Train
Clarkson, Kelly - I Do Not Hook Up
Clarkson, Kelly - Don't Waste Your Time
Clarkson, Kelly - Dark Side
Clash, The - Train in Vain
Clash, The - Should I Stay or Should I Go?
Clash, The - Rock the Casbah
Clash, The - Magnificent Seven, The
Clash, The - London Calling
Clash, The - I Fought the Law
Clash, The - Guns of Brixton
Class of '99 - Another Brick in the Wall
Classical - Wedding Song, The
Classical - Wedding March
Classical - Wagner - Bridal Chorus (instrumental)
Classical - Schubert - Ave Maria
Classical - Puccini - Nessun Dorma
Classical - Pachelbel - Canon in D
Classical - Mendelssohn - Wedding March
Classical - Bach - Ave Maria [Gounod version]
Classical - Bach - Ave Maria
Classics IV, The - Spooky
Classics IV, The - Stormy
Classics IV, The - Traces
Classics, The - Til Then
Claypool, Philip - Circus Leaving Town
Clayton, Merry - Gimme Shelter [backup, w/Rolling Stones]
Clayton, Merry - Yes
Clea - Stuck in the Middle
Clean Living - In Heaven There Is No Beer
Cleftones - Little Girl of Mine
Cleopatra - Cleopatra's Theme
Cleopatra - Life Ain't Easy
Cleopatra - I Want You Back
Click Five, The - Catch Your Wave
Click Five, The - Just the Girl
Click Five, The - Pop Princess
Cliff, Jimmy - Wonderful World Beautiful People
Cliff, Jimmy - Many Rivers to Cross
Cliff, Jimmy - Harder They Come, The
Cliff, Jimmy - I Can See Clearly Now
Climax - Precious & Few
Climax Blues Band, The - Couldn't Get It Right
Climax Blues Band, The - I Love You
Climie Fisher - Love Changes Everything
Cline, Patsy - Someday
Cline, Patsy - So Wrong
Cline, Patsy - She's Got You
Cline, Patsy - Seven Lonely Days
Cline, Patsy - San Antonio Rose
Cline, Patsy - Poor Man's Roses, A
Cline, Patsy - Love Letters in the Sand
Cline, Patsy - Lonely Street
Cline, Patsy - Life's Railway to Heaven
Cline, Patsy - Let the Teardrops Fall
Cline, Patsy - Leavin' on Your Mind
Cline, Patsy - Stop Look and Listen
Cline, Patsy - Strange
Cline, Patsy - You're Stronger than Me
Cline, Patsy - Your Cheatin' Heart
Cline, Patsy - You Took Him Off My Hands
Cline, Patsy - Yes, I Understand
Cline, Patsy - Why Can't He Be You
Cline, Patsy - When I Get Through with You
Cline, Patsy - Walkin' After Midnight
Cline, Patsy - Tra Le La Le La Triangle
Cline, Patsy - Three Cigarettes and an Ashtray
Cline, Patsy - Sweet Dreams (of You)
Cline, Patsy - Stranger in My Arms
Cline, Patsy - Just Out of Reach (Of My Two Open Arms)
Cline, Patsy - Just a Closer Walk with Thee
Cline, Patsy - Always
Cline, Patsy - Half as Much
Cline, Patsy - Fingerprints
Cline, Patsy - Faded Love
Cline, Patsy - Eyes of a Child, The
Cline, Patsy - Dear God
Cline, Patsy - Crazy Arms
Cline, Patsy - Crazy
Cline, Patsy - Church, a Courtroom, and Then Goodbye, A
Cline, Patsy - Blue Moon of Kentucky
Cline, Patsy - Bill Bailey Won't You Please Come Home
Cline, Patsy - Back in Baby's Arms
Cline, Patsy - Have You Ever Been Lonely
Cline, Patsy - Have You Ever Been Lonely [w/Jim Reeves]
Cline, Patsy - I've Loved and Lost Again
Cline, Patsy - Imagine That
Cline, Patsy - I Love You So Much It Hurts
Cline, Patsy - I Fall to Pieces
Cline, Patsy - I Don't Wanta
Cline, Patsy - I Cried All the Way to the Altar
Cline, Patsy - I Can't Forget You
Cline, Patsy - I Can See an Angel
Cline, Patsy - How Can I Face Tommow
Cline, Patsy - Honky Tonk Merry Go Round
Cline, Patsy - Heart You Break May Be Your Own, The
Cline, Patsy - He Called Me Baby
Clinton, George - Atomic Dog
Clinton, George - One Nation Under a Groove [Funkadelic]
Clipse - When the Last Time
Clipse - Ma, I Don't Love Her [w/Faith Evans]
Clipse - I'm Good [w/Pharrell]
Clipse - Grindin'
Clivilles & Cole - Deeper Love, A
Clock - Blame It on the Boogie
Clooney, Rosemary - Hey There
Clooney, Rosemary - This Ole House
Clooney, Rosemary - Mambo Italiano
Clooney, Rosemary - I Can't Give You Anything but Love
Clooney, Rosemary - Don't Worry About Me
Clooney, Rosemary - Anniversary Song, The
Clout - Substitute
Clovers, The - Devil or Angel
Clovers, The - Don't You Know I Love You So
Clovers, The - Fool Fool Fool
Clovers, The - Chains of Love
Club Nouveau - Lean on Me
Clyro, Biffy - Mountains
Coast to Coast - Do the Hucklebuck
Coasters, The - Charlie Brown
Coasters, The - Young Blood
Coasters, The - Yakety Yak
Coasters, The - Smokey Joe's Caf
Coasters, The - Along Came Jones
Coasters, The - Poison Ivy
Coasters, The - Little Egypt [w/Elvis Presley]
Coasters, The - Framed
Coasters, The - Searchin'
Cobbs, Tasha - Break Every Chain
Cobra Starship - You Make Me Feel [ft. Sabi]
Cochran, Anita - After All These Years [w/Jim Brickman]
Cochran, Anita - You with Me
Cochran, Anita - Will You Be Here
Cochran, Anita - What If I Said [w/Steve Wariner]
Cochran, Anita - Good Times
Cochran, Anita - For Crying Out Loud
Cochran, Anita - Daddy Can You See Me
Cochran, Anita - Cheatin' Song, A, (I Wanna Hear) [w/Conway Twitty]
Cochran, Eddie - Twenty Flight Rock
Cochran, Eddie - Three Steps to Heaven
Cochran, Eddie - Summertime Blues
Cochran, Eddie - Somethin' Else
Cochran, Eddie - C'mon Everybody
Cochran, Eddie - Sittin' in the Balcony
Cochran, Tammy - Angels in Waiting
Cochran, Tammy - I Believe
Cochran, Tammy - I Cry
Cochran, Tammy - Life Happened
Cochran, Tammy - Love Won't Let Me
Cochran, Tammy - So What
Cochran, Tammy - What Kind of Woman Would I Be
Cochran, Tammy - If You Can
Cochrane, Tom - Lunatic Fringe [Red Rider]
Cochrane, Tom - Life Is a Highway
Cocker, Joe - You Can Leave Your Hat On
Cocker, Joe - You Are So Beautiful
Cocker, Joe - Woman to Woman
Cocker, Joe - With a Little Help from My Friends
Cocker, Joe - When the Night Comes
Cocker, Joe - Up Where We Belong [w/Jennifer Warnes]
Cocker, Joe - Unchain My Heart
Cocker, Joe - Summer in the City
Cocker, Joe - She Came in Through the Bathroom Window
Cocker, Joe - Cry Me a River
Cocker, Joe - Delta Lady
Cocker, Joe - Feelin' Alright
Cocker, Joe - Have a Little Faith in Me
Cocker, Joe - High Time We Went
Cocker, Joe - Letter, The (Give Me a Ticket for an Airplane)
Cocker, Joe - Little Help from My Friends
Cockney Rebel - Make Me Smile
Coe, David Allan - You Never Even Called Me By My Name
Coe, David Allan - Waylon, Willie & Me
Coe, David Allan - She Used to Love Me a Lot
Coe, David Allan - Ride, The
Coe, David Allan - Mona Lisa Lost Her Smile
Coe, David Allan - Longhaired Redneck
Coe, David Allan - Jack Daniel's If You Please
Coe, David Allan - If That Ain't Country
Coello, Renan Armendares - Poema de Amor
Coffey, Kellie - Why Wyoming
Coffey, Kellie - When You Lie Next to Me
Coffey, Kellie - Whatever It Takes
Coffey, Kellie - Texas Plates
Coffey, Kellie - At the End of the Day
Coffey, Kellie - Dance with My Father
Cogan, Alma - Dreamboat
Coheed & Cambria - World of Lines
Coheed & Cambria - Ten Speed
Coheed & Cambria - Suffering, The
Coheed & Cambria - Favor House Atlantic, A
Coheed & Cambria - Blood Red Summer
Coheed & Cambria - Apollo II (The Telling Truth)
Coheed & Cambria - Al the Killer
Coheed & Cambria - Devil in Jersey City
Cohn, Marc - Walk Through the World
Cohn, Marc - Walking in Memphis
Cohn, Marc - Paper Walls
Colbert, John - I Can't Let You Go
Cold - Different Kind of Pain, A
Cold - Gone Away
Cold - Just Got Wicked
Cold - No One
Cold - Stupid Girl
Cold - Suffocate
Cold - Happens All the Time
Cold War Kids - Minimum Day
Coldplay - Moses
Coldplay - Paradise
Coldplay - Politik
Coldplay - Princess of China [w/Rihanna]
Coldplay - Scientist, The
Coldplay - Shiver
Coldplay - Speed of Sound
Coldplay - Talk
Coldplay - Til Kingdom Come
Coldplay - Trouble
Coldplay - Turn
Coldplay - Violet Hill
Coldplay - Viva La Vida
Coldplay - Yellow
Coldplay - Lovers in Japan
Coldplay - Lost
Coldplay - Atlas
Coldplay - Charlie Brown
Coldplay - Clocks
Coldplay - Don't Panic
Coldplay - Every Tear Is a Waterfall
Coldplay - Every Teardrop Is a Waterfall
Coldplay - Fix You
Coldplay - Flowers in the Window
Coldplay - God Put a Smile Upon Your Face
Coldplay - Life in Technicolor II
Coldplay - Life in Technicolor 2
Coldplay - In My Place
Coldplay - Homecoming [Chris Martin & Kanye West]
Coldplay - Hardest Part, The
Coldplay - Hardest Part
Cole, Cheryl - Under the Sun
Cole, Cheryl - Screw You [ft. Wretch 22]
Cole, Cheryl - Promise This
Cole, Cheryl - Parachute
Cole, Cheryl - Heartbreaker [solo male version - Will.I.Am]
Cole, Cheryl - Heartbreaker [duet version, w/Will,I.Am]
Cole, Cheryl - Flood, The
Cole, Cheryl - Fight for This Love
Cole, Cheryl - Call My Name
Cole, Cheryl - 3 Words [w/Will.I.Am]
Cole, J - Trouble [w/Bei Maejor]
Cole, J - Power Trip [w/Miguel]
Cole, J - Can't Get Enough [w/Trey Songz]
Cole, Keyshia - Love
Cole, Keyshia - Playa Cardz Right [w/Tupac]
Cole, Keyshia - Shoulda Let You Go
Cole, Keyshia - To Be Over, (I Just Want It)
Cole, Keyshia - Trust [w/Monica]
Cole, Keyshia - Where This Love Could End Up
Cole, Keyshia - You Complete Me
Cole, Keyshia - Let It Go
Cole, Keyshia - Last Night [w/Diddy]
Cole, Keyshia - Beautiful Music
Cole, Keyshia - Boyfriend/Girlfriend [w/C-Side]
Cole, Keyshia - Game's Pain [w/The Game]
Cole, Keyshia - Heaven Sent
Cole, Keyshia - I Changed My Mind
Cole, Keyshia - I Remember
Cole, Keyshia - I Should Have Cheated
Cole, Keyshia - I've Changed [w/Jaheim]
Cole, Lloyd & the Commotions - Lost Weekend
Cole, Nat 'King' - Somewhere Along the Way
Cole, Nat 'King' - Smile
Cole, Nat 'King' - Sentimental Reasons
Cole, Nat 'King' - Route 66
Cole, Nat 'King' - Ramblin' Rose
Cole, Nat 'King' - Quizas Quizas Quizas
Cole, Nat 'King' - Pretender, The
Cole, Nat 'King' - Pretend
Cole, Nat 'King' - Stardust
Cole, Nat 'King' - Straighten Up and Fly Right
Cole, Nat 'King' - This Is All I Ask
Cole, Nat 'King' - When I Fall in Love [duet w/Natalie Cole]
Cole, Nat 'King' - When I Fall in Love
Cole, Nat 'King' - Walkin' My Baby Back Home
Cole, Nat 'King' - Unforgettable [duet w/Natalie Cole]
Cole, Nat 'King' - Unforgettable
Cole, Nat 'King' - Too Young to Go Steady
Cole, Nat 'King' - Too Young
Cole, Nat 'King' - Those Lazy, Hazy Crazy Days of Summer
Cole, Nat 'King' - Paper Moon, It's Only a
Cole, Nat 'King' - Nature Boy
Cole, Nat 'King' - Embraceable You
Cole, Nat 'King' - Don't Get Around Much Anymore
Cole, Nat 'King' - Darling, Je Vous Aime Beaucoup
Cole, Nat 'King' - Christmas Song, The (Chestnuts Roasting)
Cole, Nat 'King' - Christmas Song, The
Cole, Nat 'King' - Blossom Fell, A
Cole, Nat 'King' - Ballerina
Cole, Nat 'King' - Autumn Leaves
Cole, Nat 'King' - Answer Me, My Love
Cole, Nat 'King' - Fascination
Cole, Nat 'King' - For All We Know
Cole, Nat 'King' - Mona Lisa
Cole, Nat 'King' - Lover Come Back to Me
Cole, Nat 'King' - Love Is a Many Splendored Thing
Cole, Nat 'King' - L-O-V-E
Cole, Nat 'King' - Let's Face the Music and Dance
Cole, Nat 'King' - Let There Be Love
Cole, Nat 'King' - It's Only a Paper Moon
Cole, Nat 'King' - I'm in the Mood for Love
Cole, Nat 'King' - For Sentimental Reasons
Cole, Natalie - Smile Like Yours, A
Cole, Natalie - Snowfall on the Sahara
Cole, Natalie - Take a Look
Cole, Natalie - They Can't Take That Away from Me[w/Frank Sinatra]
Cole, Natalie - This Will Be (An Everlasting Love)
Cole, Natalie - Unforgettable [w/Nat 'King' Cole]
Cole, Natalie - Very Thought of You, The
Cole, Natalie - When I Fall in Love [w/Nat 'King' Cole]
Cole, Natalie - Wild Women Do
Cole, Natalie - Route 66
Cole, Natalie - Pink Cadillac
Cole, Natalie - Our Love
Cole, Natalie - Angel on My Shoulder
Cole, Natalie - Cry Me a River
Cole, Natalie - Dangerous
Cole, Natalie - Inseparable
Cole, Natalie - I've Got Love on My Mind
Cole, Natalie - Jump Start My Heart
Cole, Natalie - L-O-V-E
Cole, Natalie - Miss You Like Crazy
Cole, Natalie - Mr. Melody
Cole, Natalie - Orange Colored Sky
Cole, Paula - Where Have All the Cowboys Gone?
Cole, Paula - Me
Cole, Paula - I Don't Want to Wait
Cole, Paula - Feelin' Love
Cole, Paula - I Believe in Love
Cole, Samantha - Happy with You
Cole, Samantha - Luv Me Luv Me' [w/Shaggy]
Collage - I'll Be Loving You
Collage III - Better Man
Collective Soul - Precious Declaration
Collective Soul - Promises Broken
Collective Soul - Run
Collective Soul - Shine
Collective Soul - Where the River Flows
Collective Soul - Why Pt.2
Collective Soul - World I Know, The
Collective Soul - Heavy
Collective Soul - Perfect Day
Collective Soul - No More, No Less
Collective Soul - Better Now
Collective Soul - Counting the Days
Collective Soul - December
Collective Soul - Gel
Collective Soul - How Do You Love
Collective Soul - Listen
Collective Soul - Needs
Collective Soul - Next Homecoming
Collective, The - Teardrop
Collie, Mark - She's Never Coming Back
Collie, Mark - Something's Gonna Change Her Mind
Collie, Mark - Steady as She Goes
Collie, Mark - Three Words, Two Hearts, One Night
Collie, Mark - Love to Burn
Collie, Mark - Lipstick Don't Lie
Collie, Mark - Born to Love You
Collie, Mark - Even the Man in the Moon Is Cryin'
Collie, Mark - Hard Lovin' Woman
Collie, Mark - In Time
Collie, Mark - It Is No Secret
Collins, Edwyn - Girl Like You, A
Collins, Judy - Both Sides Now
Collins, Judy - Send in the Clowns
Collins, Judy - Someday Soon
Collins, Marcus - Seven Nation Army
Collins, Marcus - Mercy
Collins, Phil - Land of Confusion
Collins, Phil - Never a Time
Collins, Phil - One More Night
Collins, Phil - Separate Lives [w/Marilyn Martin]
Collins, Phil - Something Happened on the Way to Heaven
Collins, Phil - Sussudio
Collins, Phil - Tonight, Tonight, Tonight
Collins, Phil - Too Busy Thinking About My Baby [w/Manhattan Transfer]
Collins, Phil - True Colors
Collins, Phil - Two Hearts
Collins, Phil - You Can't Hurry Love
Collins, Phil - You'll Be in My Heart
Collins, Phil - Jesus He Knows Me
Collins, Phil - Invisible Touch
Collins, Phil - In the Air Tonight
Collins, Phil -  see also  Genesis 
Collins, Phil - Against All Odds (Take a Look at Me Now)
Collins, Phil - Another Day in Paradise
Collins, Phil - Can't Stop Loving You
Collins, Phil - Dance Into the Light
Collins, Phil - Do You Remember
Collins, Phil - Don't Lose My Number
Collins, Phil - Easy Lover [w/Philip Bailey]
Collins, Phil - Everyday
Collins, Phil - Groovy Kind of Love, A
Collins, Phil - I Don't Care Anymore
Collins, Phil - I Missed Again
Collins, Phil - I Wish It Would Rain Down
Collins, Simon - Unconditional
Colombiano, Rayito - El 
Color Me Badd - Time and Chance
Color Me Badd - Remember When
Color Me Badd - I Wanna Sex You Up
Color Me Badd - I Adore Mi Amor
Color Me Badd - Earth, The Sun, The Rain, The
Color Me Badd - Choose
Color Me Badd - Bells, The
Color Me Badd - All 4 Love
Colourfield - Thinking of You
Colter, Jessi - What's Happened to Blue Eyes
Colter, Jessi - I'm Not Lisa
Colton, Graham - Best Days (The Rest of Our Lives)
Coltrane, Chi - Thunder and Lightning
Colvin, Shawn - You and the Mona Lisa
Colvin, Shawn - Whole New You
Colvin, Shawn - When the Rainbow Comes
Colvin, Shawn - Sunny Came Home
Colvin, Shawn - Nothin' on Me
Colvin, Shawn - Get Out of This House
Combs, Sean - see  Diddy 
Comeaux, Amie - Moving Out
Comedy - Royal Guardsmen - Snoopy vs. the Red Baron
Comedy - Pullins, Leroy - I'm a Nut
Comedy - Peters, Red - You Promised the Moon But I Preferred Uranus
Comedy - Peters, Red - How's Your Whole Family
Comedy - Peters, Red - Closing Song, The (Get the F*ck Out) [with vocal]
Comedy - Peters, Red - Blow Me
Comedy - Peters, Red - Ballad of a Dog Named Stains
Comedy - Sam the Sham & the Pharoes - Wooly Bully
Comedy - Sandler, Adam - At a Medium Pace
Comedy - Sandler, Adam - Chanukah Song, The
Comedy - Sandler, Adam - Ode to My Car
Comedy - Sandler, Adam - What the Hell Happened to Me
Comedy - Sellers, Peter & Sophia Loren - Goodness Gracious Me
Comedy - Seven - Drunk Chicks
Comedy - Sherman, Allan - Crazy Downtown
Comedy - Sherman, Allan - Hello Muddah Hello Faddah (A Letter from Camp)
Comedy - Singin' in the Rain - Moses Supposes [Tongue Twisters]
Comedy - Paycheck, Johnny - Take This Job and Shove It
Comedy - Nails - 88 Lines About 44 Women
Comedy - Murphy, Eddie - Party All the Time
Comedy - Monty Python - All for One
Comedy - Monty Python - Always Look on the Bright Side of Life
Comedy - Monty Python - Brave Sir Robin
Comedy - Monty Python - Come with Me
Comedy - Monty Python - Find Your Grail
Comedy - Monty Python - Fisch Schlapping Dance
Comedy - Monty Python - Galaxy Song
Comedy - Monty Python - His Name Is Lancelot
Comedy - Monty Python - I Am Not Dead Yet
Comedy - Monty Python - I'm All Alone
Comedy - Monty Python - Knights of the Round Table
Comedy - Monty Python - Lumberjack Song
Comedy - Monty Python - Sit on My Face
Comedy - Monty Python - Song That Goes Like This, The
Comedy - Monty Python - Whatever Happened to My Part
Comedy - Monty Python - You Won't Succeed on Broadway
Comedy - Miller, Roger - I'm a Nut
Comedy - South Park (see  South Park )
Comedy - Stevens, Ray - Spanish Fireball
Comedy - Stevens, Ray - Streak, The
Comedy - Tenacious D - F-ck Her Gently
Comedy - Tenacious D - Pick of Destiny
Comedy - Tenacious D - School of Rock [Jack Black solo]
Comedy - Tenacious D - Tribute
Comedy - Tenacious D - Wonderboy
Comedy - Tiny Tim - Tiptoe Thru the Tulips with Me
Comedy - Triumph the Insult Comic Dog - I Keed
Comedy - Vapors - Turning Japanese
Comedy - Verne, Larry - Mr. Custer
Comedy - Walker, Jerry Jeff - Pissin' in the Wind
Comedy - Walker, Jerry Jeff - Up Against the Wall You Redneck
Comedy - Wilson, Kevin Bloody - Kev's Courting Song (aka Do You F-ck on First Dates?)
Comedy - Wooley, Sheb - Purple People Eater
Comedy - Yankovic,  Weird Al  (see  Yankovic )
Comedy - Stevens, Ray - Shriner's Convention
Comedy - Stevens, Ray - Osama Yo' Mama
Comedy - Stevens, Ray - Misty
Comedy - Spinal Tap - Big Bottom
Comedy - Spinal Tap - Sex Farm
Comedy - Stafford, Jim - Cow Patti
Comedy - Stafford, Jim - My Girl Bill
Comedy - Stafford, Jim - Spiders & Snakes
Comedy - Stafford, Jim - Wildwood Weed
Comedy - Steel Panther - Community Property
Comedy - Stevens, Ray - Ahab the Arab
Comedy - Stevens, Ray - Along Came Jones
Comedy - Stevens, Ray - Deer Slayer
Comedy - Stevens, Ray - Everything Is Beautiful
Comedy - Stevens, Ray - Gitarzan
Comedy - Stevens, Ray - Haircut Song, The
Comedy - Stevens, Ray - I'm My Own Grandpa
Comedy - Stevens, Ray - Jeremiah Peabody's Song
Comedy - Stevens, Ray - Mississippi Squirrel Revival
Comedy - Ylvis - Fox, The (What Does the Fox Say?)
Comedy - Martin, Steve - King Tut
Comedy -  Donut Song
Comedy - Cash, Johnny - A Boy Named Sue
Comedy - Caviar - Tangerine Speedo
Comedy - Cheech & Chong - Earache My Eye
Comedy - Coasters - Along Came Jones
Comedy - Da Vinci's Notebook - Enormous Penis
Comedy - Dead Kennedys - Too Drunk to F-ck
Comedy - Dees, Rick & His Cast of Idiots - Disco Duck (Part 1)
Comedy - DiVinyls - I Touch Myself
Comedy - Dolce, Joe - Shaddap a You Face
Comedy - Donegan, Lonnie - Does Your Chewing Gum Lose It's Flavor
Comedy - Douglas, Carl - Kung Fu Fighting
Comedy - Ellis, Shirley - The Name Game
Comedy - Engvall, Bill - Here's Your Sign (Get the Picture) [w/Travis Tritt]
Comedy - Engvall, Bill - Now That's Awesome [w/Tracy Byrd, Neal McCoy & T.Graham Brown]
