Wagner, Jack - All I Need
Wynette, Tammy - Kids Say the Darndest Things
Wynette, Tammy - Justified and Ancient [w/The KLF]
Wynette, Tammy - I'll See Him Through
Wynette, Tammy - If God Met You [w/George Jones]
Wynette, Tammy - I Still Believe in Fairy Tales
Wynette, Tammy - I Don't Wanna Play House
Wynette, Tammy - He Loves Me All the Way
Wynette, Tammy - Good Lovin' (Makes It Right)
Wynnette, Holly - My Future Ex-boyfriend
Wynonna - see  Judd, Wynonna 
Wynter, Mark - Venus in Blue Jeans
