P Money - Stop the Music [w/Scribe]
P. Diddy - see  Diddy 
Pablo, Petey - see  Petey Pablo 
Price, Kelly - Heartbreak Hotel [w/Whitney Houston & Faith Evans]
Price, Kelly - Friend of Mine
Price, Kelly - As We Lay
Price, Lloyd - Where Were You on Our Wedding Day
Price, Lloyd - Stagger Lee
Price, Lloyd - Personality
Price, Lloyd - Lawdy Miss Clawdy
Price, Lloyd - Just Because
Price, Lloyd - I'm Gonna Get Married
Price, Ray - She's Got to Be a Saint
Price, Ray - San Antonio Rose
Price, Ray - Same Old Me, The
Price, Ray - Pride
Price, Ray - One More Time
Price, Ray - My Shoes Keep Walking Back to You
Price, Ray - I've Got a New Heartache
Price, Ray - Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini
Price, Ray - Crazy Arms
Price, Ray - For the Good Times
Price, Ray - Heartaches By the Numbers
Price, Ray - Help Me Make It Through the Night
Price, Ray - Invitation to the Blues
Pride, Charley - She's Just an Old Love Turned Memory
Pride, Charley - Roll on Mississippi
Pride, Charley - Never Been So Loved
Pride, Charley - My Eyes Can Only See as Far as You
Pride, Charley - More to Me
Pride, Charley - Mississippi Cotton Pickin' Delta Town
Pride, Charley - Missin' You
Pride, Charley - Let the Chips Fall
Pride, Charley - Kiss an Angel Good Morning
Pride, Charley - She's Too Good to Be True
Pride, Charley - Shoulder to Cry On, A
Pride, Charley - You're So Good When You're Bad
Pride, Charley - You're My Jamaica
Pride, Charley - You Almost Slipped My Mind
Pride, Charley - Whole Lotta Things to Sing About, A
Pride, Charley - Where Do I Put Her Memory
Pride, Charley - When I Stop Leaving I'll Be Gone
Pride, Charley - We Could
Pride, Charley - Then Who Am I
Pride, Charley - Someone Loves You Honey
Pride, Charley - Just for the Love of It
Pride, Charley - Just Between You and Me
Pride, Charley - Easy Part's Over, The
Pride, Charley - Don't Fight the Feelings of Love
Pride, Charley - Does My Ring Hurt Your Finger
Pride, Charley - Crystal Chandeliers
Pride, Charley - Christmas in My Home Town
Pride, Charley - Burgers & Fries
Pride, Charley - Amazing Love
Pride, Charley - All I Have to Offer You Is Me
Pride, Charley - All His Children
Pride, Charley - Happiness of Having You, The
Pride, Charley - Honky Tonk Blues
Pride, Charley - It's Gonna Take a Little Bit Longer
Pride, Charley - Is Anybody Goin' to San Antone
Pride, Charley - I'm So Afraid of Losing You Again
Pride, Charley - I'm Just Me
Pride, Charley - I'd Rather Love You
Pride, Charley - I Know One
Pride, Charley - I Don't Think She's in Love Anymore
Pride, Charley - I Can't Believe That You've Stopped Loving Me
Pride, Charley - Hope You're Feeling Me (Like I'm Feeling You)
Priest, Maxi - That Girl [w/Shaggy]
Priest, Maxi - Set the Night to Music [w/Roberta Flack]
Priest, Maxi - Close to You
Prima, Louis - Closer to the Bone
Prima, Louis - I Got You Under My Skin [w/Keely Smith]
Prima, Louis - Just a Gigolo, Ain't Got Nobody
Prima, Louis - That Old Black Magic [w/Keely Smith]
Primal Scream - Rocks
Primal Scream - Movin' on Up
Primal Scream - Country Girl
Primavera, Conjunto - Dime, Dime, Dime
Prime Sth - I'm Stupid
Primitive Radio Gods - Standing Outside a Broken Phone Booth w/$in myHand
Primitives - Crash
Primus - Wynona's Big Brown Beaver
Prince - Pop Life
Prince - P*ssy Control
Prince - My Name Is Prince
Prince - Musicology
Prince - Most Beautiful Girl in the World, The
Prince - Morning Papers, The
Prince - Money Don't Matter 2 Night
Prince - Little Red Corvette
Prince - Let's Go Crazy
Prince - Purple Rain
Prince - Raspberry Beret
Prince - When Doves Cry
Prince - U Got the Look [w/Sheena Easton]
Prince - Thieves in the Temple
Prince - Te Amo Corazon
Prince - Take Me with You [w/Apollonia 6]
Prince - Somebody's Somebody
Prince - Sign o' the Times
Prince - Sexy MF
Prince - Seven
Prince - Kiss
Prince - I Would Die for You
Prince - I Wanna Be Your Lover
Prince - Controversy
Prince - Call My Name
Prince - Betcha By Golly Wow
Prince - Beautiful Ones, The
Prince - Batdance
Prince - Baby I'm a Star
Prince - Alphabet Street
Prince - 7
Prince - 1999
Prince - Cream
Prince - Darling Nikki
Prince - Gold
Prince - Gett Off
Prince - Extraordinary
Prince - Erotic City
Prince - Do Me Baby
Prince - Diamonds & Pearls
Prince - Delirious
Prince - Darling Nikki [Foo Fighters version]
Prince - I Hate U
Prince Buster - Whine and Grine
Princess Superstar - Bad Babysitter
Prine, John - You Got Gold
Prine, John - Yes, I Guess They Oughta Name a Drink After You
Prine, John - Take a Look at My Heart
Prine, John - Spanish Pipedream
Prine, John - Souvenirs
Prine, John - Sam Stone
Prine, John - Please Don't Bury Me
Prine, John - Paradise
Prine, John - Illegal Smile
Prine, John - Hello in There
Prine, John - Great Compromise, The
Prine, John - Grandpa Was a Carpenter
Prine, John - Dear Abby
Prine, John - Angel from Montgomery [w/Bonnie Raitt]
Prine, John - Angel from Montgomery
Prine, John - Ain't Hurtin' Nobody
Priscila & Sus Balas de Plata - Paraiso Terrenal
Proby, PJ - Hold Me
Proby, PJ - Somewhere
Proclaimers, The - I'm Gonna Be (500 Miles)
Proclaimers, The - I'm Gonna Be (500 Miles) - Comic Relief 2007 version w/Brian Potter & Andy Pipkin
Proclaimers, The - I'm on My Way
Proclaimers, The - Letter From America
Proclaimers, The - Sunshine on Leith
Procol Harum - Whiter Shade of Pale, A
Procol Harum - Conquistador
Proctor, Rachel - Days Like This
Proctor, Rachel - Didn't I
Proctor, Rachel - Me and Emily
Proctor, Rachel - Where I Belong
Prodigy - Breathe
Prodigy - Firestarter
Professor Green - Remedy [w/Ruth Anne]
Professor Green - Read All About It [ft. Emeli Sande]
Professor Green - Never Be a Right Time
Professor Green - Avalon [w/Sierra Kusterbeck]
Professor Longhair - Hey Little Girl
Profyle - Liar
Prosser, James - Angels Don't Fly
Prosser, James - Life Goes On
Provine, Dorothy - Don't Bring Lulu
Pruett, Jeannie - Satin Sheets
Pseudo Echo - Funky Town
Pseudo Echo - Funkytown
PSY - Gangnam Style
PSY - Gentleman
Psychedelic Furs, The - Pretty in Pink
Psychedelic Furs, The - Love My Way
Psychedelic Furs, The - Ghost in You, The
Public Enemy - Bring the Noise [w/Anthrax]
Public Enemy - Fight the Power
Public Enemy - Harder than You Think
Public, Joe - Live and Learn
Puckett, Gary & the Union Gap - Young Girl
Puckett, Gary & the Union Gap - Woman, Woman
Puckett, Gary & the Union Gap - This Girl Is a Woman Now
Puckett, Gary & the Union Gap - Over You
Puckett, Gary & the Union Gap - Lady Will Power
Puckett, Gary & the Union Gap - Don't Give in to Him
Puddle of Mudd - Spin You Around
Puddle of Mudd - She Hates Me
Puddle of Mudd - Psycho
Puddle of Mudd - Heel Over Head
Puddle of Mudd - Drift & Die
Puddle of Mudd - Control
Puddle of Mudd - Blurry
Puddle of Mudd - Away from Me
Puerto Rican Power - Pena de Amor
Puff Daddy - see  Diddy 
Pulido, Roberto - Te Vi Partir
Pullins, Leroy - I'm a Nut
Pulp - This Is Hardcore
Pulp - Monday Morning
Pulp - Mile End
Pulp - Help the Aged
Pulp - Do You Remember the First Time
Pulp - Disco 2000
Pulp - Common People
Pulp - All Time High
Pure Prairie League - Let Me Love You Tonight
Pure Prairie League - Falling in and Out of Love
Pure Prairie League - Amie
Purify, James & Bobby - I'm Your Puppet
Purify, James & Bobby - Shake a Tail Feather
Purple Ribbon All-Stars - Kryptonite
Push Play - My Everything
Push Play - Midnight Romeo
Pussy Cat - Mississippi
Pussycat Dolls -  see also  Nicole Scherzinger 
Pussycat Dolls, The - I Hate This Part
Pussycat Dolls, The - Jai Ho! (You Are My Destiny) [w/A.R. Rahman]
Pussycat Dolls, The - Stickwitu
Pussycat Dolls, The - Wait a Minute
Pussycat Dolls, The - Whatcha Think About That [w/Missy Elliott]
Pussycat Dolls, The - When I Grow Up
Pussycat Dolls, The - I Don't Need a Man
Pussycat Dolls, The - Hush Hush
Pussycat Dolls, The - Go Too Far [Jibbs & Melody Thornton]
Pussycat Dolls, The - Don't Cha [radio version w/Busta Rhymes]
Pussycat Dolls, The - Don't Cha
Pussycat Dolls, The - Buttons [w/Snoop Dogg]
Pussycat Dolls, The - Bottle Pop
Pussycat Dolls, The - Beep [w/Will.i.am]
Python Lee Jackson - In a Broken Dream
